id,startnode,endnode
APARK01201_APARK01301,APARK01201,APARK01301
APARK01201_APARK01401,APARK01201,APARK01401
APARK01201_APARK01501,APARK01201,APARK01501
APARK01201_APARK01601,APARK01201,APARK01601
APARK01201_APARK01701,APARK01201,APARK01701
APARK01201_APARK01801,APARK01201,APARK01801
APARK01301_APARK01401,APARK01301,APARK01401
APARK01301_APARK01501,APARK01301,APARK01501
APARK01301_APARK01601,APARK01301,APARK01601
APARK01301_APARK01701,APARK01301,APARK01701
APARK01301_APARK01801,APARK01301,APARK01801
APARK01401_APARK01501,APARK01401,APARK01501
APARK01401_APARK01601,APARK01401,APARK01601
APARK01401_APARK01701,APARK01401,APARK01701
APARK01401_APARK01801,APARK01401,APARK01801
APARK01501_APARK01601,APARK01501,APARK01601
APARK01501_APARK01701,APARK01501,APARK01701
APARK01501_APARK01801,APARK01501,APARK01801
APARK01601_APARK01701,APARK01601,APARK01701
APARK01601_APARK01801,APARK01601,APARK01801
APARK01701_APARK01801,APARK01701,APARK01801
APARK00101_AWALK00101,APARK00101,AWALK00101
APARK00201_AWALK00101,APARK00201,AWALK00101
APARK00301_AWALK00101,APARK00301,AWALK00101
APARK00401_AWALK00101,APARK00401,AWALK00101
APARK00501_AWALK00101,APARK00501,AWALK00101
APARK00601_AWALK00101,APARK00601,AWALK00101
APARK00701_AWALK00101,APARK00701,AWALK00101
APARK00801_AWALK00101,APARK00801,AWALK00101
APARK00901_AWALK00101,APARK00901,AWALK00101
APARK01001_AWALK00101,APARK01001,AWALK00101
APARK01101_AWALK00101,APARK01101,AWALK00101
APARK01201_AWALK00101,APARK01201,AWALK00101
APARK01301_AWALK00101,APARK01301,AWALK00101
APARK01401_AWALK00101,APARK01401,AWALK00101
APARK01501_AWALK00101,APARK01501,AWALK00101
APARK01601_AWALK00101,APARK01601,AWALK00101
APARK01701_AWALK00101,APARK01701,AWALK00101
APARK01801_AWALK00101,APARK01801,AWALK00101
AWALK00201_AEXIT00201,AWALK00201,AEXIT00201
APARK01901_APARK02001,APARK01901,APARK02001
APARK01901_APARK02101,APARK01901,APARK02101
APARK01901_APARK02201,APARK01901,APARK02201
APARK01901_APARK02301,APARK01901,APARK02301
APARK01901_APARK02401,APARK01901,APARK02401
APARK01901_APARK02501,APARK01901,APARK02501
APARK01901_APARK02601,APARK01901,APARK02601
APARK01901_APARK02701,APARK01901,APARK02701
APARK01901_APARK02801,APARK01901,APARK02801
APARK01901_APARK02901,APARK01901,APARK02901
APARK01901_APARK03001,APARK01901,APARK03001
APARK02001_APARK02101,APARK02001,APARK02101
APARK02001_APARK02201,APARK02001,APARK02201
APARK02001_APARK02301,APARK02001,APARK02301
APARK02001_APARK02401,APARK02001,APARK02401
APARK02001_APARK02501,APARK02001,APARK02501
APARK02001_APARK02601,APARK02001,APARK02601
APARK02001_APARK02701,APARK02001,APARK02701
APARK02001_APARK02801,APARK02001,APARK02801
APARK02001_APARK02901,APARK02001,APARK02901
APARK02001_APARK03001,APARK02001,APARK03001
APARK02101_APARK02201,APARK02101,APARK02201
APARK02101_APARK02301,APARK02101,APARK02301
APARK02101_APARK02401,APARK02101,APARK02401
APARK02101_APARK02501,APARK02101,APARK02501
APARK02101_APARK02601,APARK02101,APARK02601
APARK02101_APARK02701,APARK02101,APARK02701
APARK02101_APARK02801,APARK02101,APARK02801
APARK02101_APARK02901,APARK02101,APARK02901
APARK02101_APARK03001,APARK02101,APARK03001
APARK02201_APARK02301,APARK02201,APARK02301
APARK02201_APARK02401,APARK02201,APARK02401
APARK02201_APARK02501,APARK02201,APARK02501
APARK02201_APARK02601,APARK02201,APARK02601
APARK02201_APARK02701,APARK02201,APARK02701
APARK02201_APARK02801,APARK02201,APARK02801
APARK02201_APARK02901,APARK02201,APARK02901
APARK02201_APARK03001,APARK02201,APARK03001
APARK02301_APARK02401,APARK02301,APARK02401
APARK02301_APARK02501,APARK02301,APARK02501
APARK02301_APARK02601,APARK02301,APARK02601
APARK02301_APARK02701,APARK02301,APARK02701
APARK02301_APARK02801,APARK02301,APARK02801
APARK02301_APARK02901,APARK02301,APARK02901
APARK02301_APARK03001,APARK02301,APARK03001
APARK02401_APARK02501,APARK02401,APARK02501
APARK02401_APARK02601,APARK02401,APARK02601
APARK02401_APARK02701,APARK02401,APARK02701
APARK02401_APARK02801,APARK02401,APARK02801
APARK02401_APARK02901,APARK02401,APARK02901
APARK02401_APARK03001,APARK02401,APARK03001
APARK02501_APARK02601,APARK02501,APARK02601
APARK02501_APARK02701,APARK02501,APARK02701
APARK02501_APARK02801,APARK02501,APARK02801
APARK02501_APARK02901,APARK02501,APARK02901
APARK02501_APARK03001,APARK02501,APARK03001
APARK02601_APARK02701,APARK02601,APARK02701
APARK02601_APARK02801,APARK02601,APARK02801
APARK02601_APARK02901,APARK02601,APARK02901
APARK02601_APARK03001,APARK02601,APARK03001
APARK02701_APARK02801,APARK02701,APARK02801
APARK02701_APARK02901,APARK02701,APARK02901
APARK02701_APARK03001,APARK02701,APARK03001
APARK02801_APARK02901,APARK02801,APARK02901
APARK02801_APARK03001,APARK02801,APARK03001
APARK02901_APARK03001,APARK02901,APARK03001
AHALL01204_AHALL01104,AHALL01204,AHALL01104
AHALL01204_AELEV00104,AHALL01204,AELEV00104
AHALL01204_AREST00104,AHALL01204,AREST00104
AHALL01204_ASTAI00504,AHALL01204,ASTAI00504
AHALL03504_AHALL03404,AHALL03504,AHALL03404
AHALL03504_ASERV00204,AHALL03504,ASERV00204
AHALL03504_ADEPT00404,AHALL03504,ADEPT00404
AHALL03504_AHALL03604,AHALL03504,AHALL03604
ADEPT01104_AHALL03104,ADEPT01104,AHALL03104
AHALL01205_AHALL00105,AHALL01205,AHALL00105
AHALL01205_AHALL01105,AHALL01205,AHALL01105
AHALL01205_AHALL01305,AHALL01205,AHALL01305
AHALL01205_AHALL01405,AHALL01205,AHALL01405
ADEPT01102_AHALL02002,ADEPT01102,AHALL02002
AHALL03505_ASTAI00105,AHALL03505,ASTAI00105
AHALL03505_ADEPT02005,AHALL03505,ADEPT02005
AHALL01201_AHALL01101,AHALL01201,AHALL01101
AHALL01201_ASTAI00401,AHALL01201,ASTAI00401
AHALL01201_AHALL01301,AHALL01201,AHALL01301
AHALL01202_AHALL01102,AHALL01202,AHALL01102
AHALL01202_AHALL02602,AHALL01202,AHALL02602
AHALL01202_AHALL02702,AHALL01202,AHALL02702
AHALL01202_AELEV00302,AHALL01202,AELEV00302
AHALL01203_AHALL00103,AHALL01203,AHALL00103
AHALL01203_AHALL01003,AHALL01203,AHALL01003
AHALL01203_AHALL01303,AHALL01203,AHALL01303
ARETL00101_AHALL01301,ARETL00101,AHALL01301
ADEPT00804_AHALL02504,ADEPT00804,AHALL02504
ADEPT00801_AHALL01501,ADEPT00801,AHALL01501
ADEPT00802_AHALL01502,ADEPT00802,AHALL01502
ADEPT02304_AHALL00604,ADEPT02304,AHALL00604
ASERV00604_AHALL03004,ASERV00604,AHALL03004
ASERV00603_AHALL02303,ASERV00603,AHALL02303
ADEPT00805_AHALL01905,ADEPT00805,AHALL01905
AHALL00103_AHALL00203,AHALL00103,AHALL00203
