id,startnode,endnode
AELEV00301_AHALL02501,AELEV00301,AHALL02501
AELEV00301_AELEV00302,AELEV00301,AELEV00302
AELEV00302_AELEV00303,AELEV00302,AELEV00303
AELEV00303_AELEV00304,AELEV00303,AELEV00304
AELEV00304_AELEV00305,AELEV00304,AELEV00305
AHALL01501_AHALL01401,AHALL01501,AHALL01401
AHALL01502_AHALL01402,AHALL01502,AHALL01402
AHALL01503_AHALL01403,AHALL01503,AHALL01403
AHALL01503_AREST00203,AHALL01503,AREST00203
AHALL01504_AHALL01404,AHALL01504,AHALL01404
AHALL01504_ADEPT01804,AHALL01504,ADEPT01804
AHALL03005_AHALL02605,AHALL03005,AHALL02605
AHALL03005_ACONF00505,AHALL03005,ACONF00505
AHALL03004_ASERV00804,AHALL03004,ASERV00804
ADEPT00502_AHALL02602,ADEPT00502,AHALL02602
AHALL01505_AHALL01405,AHALL01505,AHALL01405
AREST00204_AHALL03604,AREST00204,AHALL03604
AHALL03804_AHALL03704,AHALL03804,AHALL03704
AHALL03804_ACONF00204,AHALL03804,ACONF00204
AREST00202_AHALL02702,AREST00202,AHALL02702
AELEV00305_AHALL02505,AELEV00305,AHALL02505
AHALL02702_AHALL01302,AHALL02702,AHALL01302
AHALL00404_AHALL00304,AHALL00404,AHALL00304
AHALL00403_AHALL00303,AHALL00403,AHALL00303
AHALL00402_AHALL00302,AHALL00402,AHALL00302
AHALL00401_AHALL00201,AHALL00401,AHALL00201
AHALL00405_AHALL00305,AHALL00405,AHALL00305
AHALL02704_AHALL02604,AHALL02704,AHALL02604
AHALL01402_AHALL01302,AHALL01402,AHALL01302
AHALL01403_AHALL01303,AHALL01403,AHALL01303
AHALL01404_AHALL01304,AHALL01404,AHALL01304
AHALL01404_ADEPT02004,AHALL01404,ADEPT02004
AHALL03704_AHALL03604,AHALL03704,AHALL03604
AHALL01405_ACONF00405,AHALL01405,ACONF00405
AHALL00301_AHALL00201,AHALL00301,AHALL00201
AHALL02601_AHALL02501,AHALL02601,AHALL02501
AHALL02602_AHALL01302,AHALL02602,AHALL01302
AHALL02604_AHALL02504,AHALL02604,AHALL02504
AHALL00305_AHALL00205,AHALL00305,AHALL00205
AHALL00304_AHALL00204,AHALL00304,AHALL00204
AHALL00303_AHALL00203,AHALL00303,AHALL00203
AHALL00302_AHALL00202,AHALL00302,AHALL00202
AHALL02605_AHALL02505,AHALL02605,AHALL02505
ADEPT02104_AHALL00204,ADEPT02104,AHALL00204
ALAB00105_AHALL02105,ALAB00105,AHALL02105
AHIDN0G0031100224_AHIDN0G0028200244,AHIDN0G0031100224,AHIDN0G0028200244
AHIDN0G0030800198_AHIDN0G0031100224,AHIDN0G0030800198,AHIDN0G0031100224
AHIDN0G0037900178_AHIDN0G0030800198,AHIDN0G0037900178,AHIDN0G0030800198
AHIDN0G0025600146_AHIDN0G0037900178,AHIDN0G0025600146,AHIDN0G0037900178
AEXIT0G0024000147_AHIDN0G0025600146,AEXIT0G0024000147,AHIDN0G0025600146
AHIDN0G0026800261_AEXIT0G0023800259,AHIDN0G0026800261,AEXIT0G0023800259
AHIDN0G0028200244_AHIDN0G0026800261,AHIDN0G0028200244,AHIDN0G0026800261
AHIDN0G0038100353_AWALK00201,AHIDN0G0038100353,AWALK00201
AHIDN0G0035900339_AHIDN0G0038100353,AHIDN0G0035900339,AHIDN0G0038100353
AHIDN0G0032700340_AHIDN0G0035900339,AHIDN0G0032700340,AHIDN0G0035900339
AWALK00101_AHIDN0G0032700340,AWALK00101,AHIDN0G0032700340
AHIDN0G0046200363_AWALK00201,AHIDN0G0046200363,AWALK00201
AHIDN0G0046200363_AEXIT00201,AHIDN0G0046200363,AEXIT00201
AHIDN0G0046200363_AHIDN0G0050700341,AHIDN0G0046200363,AHIDN0G0050700341
AHIDN0G0050700341_AHIDN0G0055000334,AHIDN0G0050700341,AHIDN0G0055000334
AHIDN0G0055000334_AEXIT00101,AHIDN0G0055000334,AEXIT00101
APARK01901_AHIDN0G0055000334,APARK01901,AHIDN0G0055000334
APARK02001_AHIDN0G0055000334,APARK02001,AHIDN0G0055000334
APARK02101_AHIDN0G0055000334,APARK02101,AHIDN0G0055000334
APARK02201_AHIDN0G0055000334,APARK02201,AHIDN0G0055000334
APARK02301_AHIDN0G0055000334,APARK02301,AHIDN0G0055000334
APARK02401_AHIDN0G0055000334,APARK02401,AHIDN0G0055000334
APARK02501_AHIDN0G0055000334,APARK02501,AHIDN0G0055000334
APARK02601_AHIDN0G0055000334,APARK02601,AHIDN0G0055000334
APARK02701_AHIDN0G0055000334,APARK02701,AHIDN0G0055000334
APARK02801_AHIDN0G0055000334,APARK02801,AHIDN0G0055000334
APARK02901_AHIDN0G0055000334,APARK02901,AHIDN0G0055000334
APARK03001_AHIDN0G0055000334,APARK03001,AHIDN0G0055000334
AHALL02901_ALAB00401,AHALL02901,ALAB00401
AHIDN0G0026800261_AWALK00101,AHIDN0G0026800261,AWALK00101
AHIDN010056300519_AHALL01701,AHIDN010056300519,AHALL01701
AHALL00601_AHIDN010056300519,AHALL00601,AHIDN010056300519
AHALL010055700494_AHIDN010056300519,AHALL010055700494,AHIDN010056300519
AHALL010055700494_ADEPT00601,AHALL010055700494,ADEPT00601
AHALL00101_AHALL010042600478,AHALL00101,AHALL010042600478
AHALL01301_AEXIT00101,AHALL01301,AEXIT00101
AEXIT00201_AHALL010042600478,AEXIT00201,AHALL010042600478
APARK0G0056900314_AHIDN0G0055000334,APARK0G0056900314,AHIDN0G0055000334
AHALL00301_ALAB00101,AHALL00301,ALAB00101
AHALL00801_AHALL00601,AHALL00801,AHALL00601
ALAB00301_AHALL02201,ALAB00301,AHALL02201
ALAB00201_AHALL02101,ALAB00201,AHALL02101
aCONF040057200620_AHALL01604,aCONF040057200620,AHALL01604
